name,accuracy,precision0,recall0,precision1,recall1,balanced_accuracy,f1_score0,f1_score1,average_f1_score,fowlkes_mallows0,fowlkes_mallows1,markedness,mcc,jaccard_index,cohens_kappa
"PolySVC(degree=4, gamma=0.1), thr=0.5",0.7925925925925926,0.7901234567901234,0.8533333333333334,0.7962962962962963,0.7166666666666667,0.785,0.8205128205128205,0.7543859649122807,0.7874493927125505,0.8211203828474678,0.7554329965957794,0.7932098765432098,0.7890757942388377,0.656441717791411,0.7878787878787878
"PolySVC(degree=2, gamma=0.001), thr=0.8",0.7888888888888889,0.7513513513513513,0.9266666666666666,0.8705882352941177,0.6166666666666667,0.7716666666666667,0.8298507462686567,0.7219512195121951,0.775900982890426,0.8344173130108532,0.732709181802739,0.8109697933227344,0.790654652785758,0.6513761467889908,0.7798283261802575
"PolySVC(degree=2, gamma=0.01), thr=0.8",0.7851851851851852,0.7371134020618557,0.9533333333333334,0.9078947368421053,0.575,0.7641666666666667,0.8313953488372093,0.7040816326530612,0.7677384907451352,0.8382808459175853,0.7225229918031748,0.8225040694519805,0.7918815256462197,0.6463414634146342,0.7742214532871973
"PolySVC(degree=2, gamma=0.1), thr=0.8",0.7444444444444445,0.697560975609756,0.9533333333333334,0.8923076923076924,0.48333333333333334,0.7183333333333334,0.8056338028169014,0.6270270270270271,0.7163304149219643,0.8154803063724475,0.6567206798038656,0.7949343339587243,0.7537597214840346,0.5929203539823009,0.72882096069869
"PolySVC(degree=3, gamma=0.001), thr=0.8",0.5,0.7777777777777778,0.14,0.4691358024691358,0.95,0.5449999999999999,0.23728813559322035,0.628099173553719,0.4326936545734697,0.3299831645537222,0.6675919504799912,0.6234567901234568,0.574535599249993,0.3333333333333333,0.5408163265306123
"PolySVC(degree=3, gamma=0.01), thr=0.8",0.7592592592592593,0.7093596059113301,0.96,0.9104477611940298,0.5083333333333333,0.7341666666666666,0.8158640226628895,0.6524064171122995,0.7341352198875946,0.825218287288204,0.6803020985368425,0.8099036835526799,0.7693865485974616,0.6119402985074627,0.7449869224062773
"PolySVC(degree=3, gamma=0.1), thr=0.8",0.7296296296296296,0.6824644549763034,0.96,0.8983050847457628,0.44166666666666665,0.7008333333333333,0.7977839335180056,0.5921787709497207,0.6949813522338631,0.8094231753398535,0.6298820623175251,0.7903847698610331,0.7414931495517505,0.5743440233236151,0.7115891132572432
"PolySVC(degree=4, gamma=0.001), thr=0.8",0.4777777777777778,0.6046511627906976,0.17333333333333334,0.45374449339207046,0.8583333333333333,0.5158333333333334,0.2694300518134715,0.5936599423631124,0.43154499708829197,0.323737859309639,0.6240705276608249,0.529197828091384,0.5215011382205744,0.31386861313868614,0.5145371078806427
"PolySVC(degree=4, gamma=0.01), thr=0.8",0.725925925925926,0.6792452830188679,0.96,0.896551724137931,0.43333333333333335,0.6966666666666667,0.7955801104972375,0.5842696629213483,0.6899248867092929,0.8075119018925437,0.6233022919309994,0.7878985035783994,0.7379496565181073,0.5697674418604651,0.7073813708260106
"PolySVC(degree=4, gamma=0.1), thr=0.8",0.7111111111111111,0.6666666666666666,0.96,0.8888888888888888,0.4,0.6799999999999999,0.7868852459016393,0.5517241379310345,0.6693046919163369,0.7999999999999999,0.5962847939999439,0.7777777777777777,0.7236067977499789,0.5517241379310345,0.6904761904761905
"RBFSVM(C=0.01), thr=0.2",0.7074074074074074,0.927710843373494,0.5133333333333333,0.6096256684491979,0.95,0.7316666666666667,0.6609442060085837,0.742671009771987,0.7018076078902853,0.69009050102026,0.7610153645142376,0.7686682559113459,0.7494824227999408,0.5472779369627507,0.7194159431728493
